storage_id,section
storage1-1A_1,1
storage2-1A_1,2
storage3-1A_1,3
storage1-1A_2,1
storage2-1A_2,2
storage3-1A_2,3
storage1-1A_3,1
storage2-1A_3,2
storage3-1A_3,3
storage1-1A_4,1
storage2-1A_4,2
storage3-1A_4,3
storage1-1A_5,1
storage2-1A_5,2
storage3-1A_5,3
storage1-1B_1,1
storage2-1B_1,2
storage3-1B_1,3
storage1-1B_2,1
storage2-1B_2,2
storage3-1B_2,3
storage1-1B_3,1
storage2-1B_3,2
storage3-1B_3,3
storage1-1B_4,1
storage2-1B_4,2
storage3-1B_4,3
storage1-1B_5,1
storage2-1B_5,2
storage3-1B_5,3
storage1-1C_1,1
storage2-1C_1,2
storage3-1C_1,3
storage1-1C_2,1
storage2-1C_2,2
storage3-1C_2,3
storage1-1C_3,1
storage2-1C_3,2
storage3-1C_3,3
storage1-1C_4,1
storage2-1C_4,2
storage3-1C_4,3
storage1-1C_5,1
storage2-1C_5,2
storage3-1C_5,3
storage1-2A_1,1
storage2-2A_1,2
storage3-2A_1,3
storage1-2A_2,1
storage2-2A_2,2
storage3-2A_2,3
storage1-2A_3,1
storage2-2A_3,2
storage3-2A_3,3
storage1-2A_4,1
storage2-2A_4,2
storage3-2A_4,3
storage1-2A_5,1
storage2-2A_5,2
storage3-2A_5,3
storage1-2B_1,1
storage2-2B_1,2
storage3-2B_1,3
storage1-2B_2,1
storage2-2B_2,2
storage3-2B_2,3
storage1-2B_3,1
storage2-2B_3,2
storage3-2B_3,3
storage1-2B_4,1
storage2-2B_4,2
storage3-2B_4,3
storage1-2B_5,1
storage2-2B_5,2
storage3-2B_5,3
storage1-2C_1,1
storage2-2C_1,2
storage3-2C_1,3
storage1-2C_2,1
storage2-2C_2,2
storage3-2C_2,3
storage1-2C_3,1
storage2-2C_3,2
storage3-2C_3,3
storage1-2C_4,1
storage2-2C_4,2
storage3-2C_4,3
storage1-2C_5,1
storage2-2C_5,2
storage3-2C_5,3
storage1-3A_1,1
storage2-3A_1,2
storage3-3A_1,3
storage1-3A_2,1
storage2-3A_2,2
storage3-3A_2,3
storage1-3A_3,1
storage2-3A_3,2
storage3-3A_3,3
storage1-3A_4,1
storage2-3A_4,2
storage3-3A_4,3
storage1-3A_5,1
storage2-3A_5,2
storage3-3A_5,3
storage1-3B_1,1
storage2-3B_1,2
storage3-3B_1,3
storage1-3B_2,1
storage2-3B_2,2
storage3-3B_2,3
storage1-3B_3,1
storage2-3B_3,2
storage3-3B_3,3
storage1-3B_4,1
storage2-3B_4,2
storage3-3B_4,3
storage1-3B_5,1
storage2-3B_5,2
storage3-3B_5,3
storage1-3C_1,1
storage2-3C_1,2
storage3-3C_1,3
storage1-3C_2,1
storage2-3C_2,2
storage3-3C_2,3
storage1-3C_3,1
storage2-3C_3,2
storage3-3C_3,3
storage1-3C_4,1
storage2-3C_4,2
storage3-3C_4,3
storage1-3C_5,1
storage2-3C_5,2
storage3-3C_5,3
storage1-4A_1,1
storage2-4A_1,2
storage3-4A_1,3
storage1-4A_2,1
storage2-4A_2,2
storage3-4A_2,3
storage1-4A_3,1
storage2-4A_3,2
storage3-4A_3,3
storage1-4A_4,1
storage2-4A_4,2
storage3-4A_4,3
storage1-4A_5,1
storage2-4A_5,2
storage3-4A_5,3
storage1-4B_1,1
storage2-4B_1,2
storage3-4B_1,3
storage1-4B_2,1
storage2-4B_2,2
storage3-4B_2,3
storage1-4B_3,1
storage2-4B_3,2
storage3-4B_3,3
storage1-4B_4,1
storage2-4B_4,2
storage3-4B_4,3
storage1-4B_5,1
storage2-4B_5,2
storage3-4B_5,3
storage1-4C_1,1
storage2-4C_1,2
storage3-4C_1,3
storage1-4C_2,1
storage2-4C_2,2
storage3-4C_2,3
storage1-4C_3,1
storage2-4C_3,2
storage3-4C_3,3
storage1-4C_4,1
storage2-4C_4,2
storage3-4C_4,3
storage1-4C_5,1
storage2-4C_5,2
storage3-4C_5,3
