tote_id,storage_id,color
dc230105-4906-47d3-b015-dbc9d43bd36f,storage1-3B_3,#F0FF33
cbcaedc1-c71f-4da4-add4-37d4996d65b0,storage1-3A_4,#3357FF
990dd028-385f-43f8-a4c7-7df80aee6907,storage2-2A_5,#F0FF33
ab3af480-9ed5-48bc-b7b5-80edb6d8b5b7,storage3-3C_2,#3357FF
a8c9af9a-0ace-43d6-a0d1-e7cbbc72b9fc,storage3-4A_2,#33FF57
6fd2ed3a-6b88-420e-89b4-9af5bc21d275,storage1-3B_5,#33FF57
199a8731-893a-4bd5-be2c-3b6bf498dc82,storage3-2A_5,#3357FF
12de1234-33a8-44b4-a30b-dd6a92742915,storage1-2C_1,#3357FF
39bd263a-2c92-48d2-9d2a-552f36d5b749,storage1-1C_3,#F0FF33
57b26994-d31d-44e0-becc-ee68a474f256,storage1-4A_1,#F0FF33
001a6595-c167-4d6e-be39-3ebd0897b840,storage2-4B_5,#FF5733
99a5c049-64bb-441c-acad-f64000212b07,storage2-2B_4,#FF5733
e1841e27-a862-4ce1-9695-5405ca6db7d2,storage1-4A_3,#F0FF33
e7ceefb3-2dc3-4ac9-a346-218ed11b7b66,storage1-1C_4,#FF5733
0b02d6f0-d50f-458f-8abc-e5e4d5a10504,storage1-2B_3,#FF5733
3ae3e5b6-6dab-4508-ad6e-493a46558aec,storage3-3B_4,#F0FF33
760656ec-c35f-44f9-aebf-e9138fdc648c,storage2-1B_1,#FF5733
e9c07bfd-3687-4917-b968-f329e4e30006,storage2-3B_5,#FF5733
fd5d7c55-09e0-4c56-957b-2e42202d4e79,storage2-4C_3,#3357FF
1fa7ecd0-351d-423d-949c-e11c00905e2d,storage3-2A_1,#33FF57
c076c7ba-4ec3-4910-98fc-6a67575522eb,storage3-3B_3,#F0FF33
14742d7a-9b35-4afd-9e73-2888c7d3e4c8,storage1-1A_4,#3357FF
196e756f-2fc2-4d96-9356-f9e4821e48b0,storage3-1B_3,#3357FF
8563bf25-7884-4a29-862b-d32061fdd9ef,storage3-4B_2,#3357FF
ddadbc12-f75a-4407-b0bd-0ed68ef28aca,storage2-3B_1,#33FF57
6a225e48-a1e1-484b-b30a-7721daebd7f5,storage3-3C_5,#33FF57
5764c631-535f-4e42-8ef4-741b4d121a27,storage3-2C_4,#F0FF33
1af63541-e7c1-452b-b736-f7f323acc25c,storage1-4C_1,#33FF57
f014671d-3f97-4179-9c69-e7643110b08c,storage3-3B_1,#F0FF33
f3a8058b-055d-4750-8593-89b3306f7f26,storage2-4A_2,#FF5733
b4cc01f5-d520-4038-9c20-7710c0d790f6,storage2-3C_4,#33FF57
2fa3d874-72b0-47e3-81de-8ea6f8a1a93f,storage1-4C_2,#3357FF
e63e31f8-2073-41f8-9d6e-1c439c536203,storage3-1B_5,#F0FF33
34c15213-a4b6-41d8-8579-6341041a3cd5,storage2-3C_3,#FF5733
8fa6620b-ee4c-4a2e-8724-2ea37002cb14,storage1-2C_4,#F0FF33
e5df5313-d258-4e57-aeb1-0aa813144505,storage3-1C_1,#F0FF33
ff8ccf75-1613-4612-bcfd-ab2eeff11817,storage2-4C_1,#3357FF
c4105c97-739e-47c9-83f3-61d36af4b67b,storage1-4A_4,#F0FF33
1bb0d88c-3d7a-43c0-b46d-9ce6a15210fb,storage2-4B_2,#F0FF33
0c2dfeda-1438-411e-a50b-b3668fa2d87c,storage1-3C_5,#3357FF
29932643-9689-4e16-ae74-c05520e3d889,storage3-3A_3,#3357FF
ce863e40-c10e-4481-9269-b53b0346536c,storage1-2A_4,#33FF57
c7c74665-257e-4ce1-b07f-0c35a70b09c4,storage3-2C_3,#33FF57
c2db5e1c-f35e-4e44-abc2-c088a30a0da7,storage3-1B_4,#F0FF33
d0ae0a83-4dd7-40b3-897a-856ca0e4549d,storage3-2C_1,#3357FF
d234bbc7-3376-4a21-904e-8706cef03948,storage1-1B_3,#33FF57
b50884d5-73d1-44b7-9d8c-6d8e779c660b,storage3-1A_1,#F0FF33
d4da0359-02bb-4e68-bd5d-e03d2fa0d559,storage2-4C_4,#F0FF33
73750f3c-4922-4a6b-82cf-a03801014b4b,storage3-1C_4,#FF5733
ae922074-c9f3-4d74-9775-7b3b8194bbc6,storage2-1C_5,#F0FF33
16de8489-1357-4fee-b308-bce26dbf9407,storage3-4C_1,#33FF57
a483a8f4-82d4-46f9-9ed9-02c71a894015,storage1-4A_2,#3357FF
60923243-3972-4d67-b2e5-af1c3daa3d12,storage1-4C_5,#3357FF
fcaa59a1-3b9e-4bc2-8d62-9c3ba6280b0f,storage1-1B_2,#33FF57
a56709b1-4ee1-4ebb-9a8d-d86e9113f2ac,storage2-4A_3,#F0FF33
5fadbac0-a015-42ea-a5f1-07381a06ef8b,storage3-2A_3,#33FF57
22e10438-73d4-4fbc-938f-2e91a1fc039a,storage2-2A_1,#3357FF
786b9318-42dd-45e9-8773-e3ee505fca7a,storage3-2B_1,#FF5733
40058e07-0dca-4285-97fc-54d4bfc5cfe7,storage2-1A_1,#F0FF33
400a8687-1502-4dc0-a7d2-8e6095752dc4,storage3-4B_4,#33FF57
df90ca33-4488-437f-917e-bfb7bc061716,storage3-1A_2,#F0FF33
3d7a62aa-cf5c-4485-89c6-b1ba64f33463,storage3-1C_5,#33FF57
8a153a39-a477-4797-86ac-2b30735b94b7,storage2-4B_3,#FF5733
5919f3dc-2d14-42bc-8d90-48c90c766b78,storage3-3A_4,#33FF57
931cfe57-fa4d-4d73-a5cc-b559994b12f8,storage3-3C_4,#F0FF33
e3f18e36-546a-44bb-a294-d1a9aeb9f195,storage3-2A_2,#F0FF33
b03bd4f3-df73-4556-97bd-ba9e48d9072c,storage1-1C_1,#3357FF
6726261f-574f-469a-9d48-0444325334a7,storage3-3A_1,#FF5733
3b187c8c-943e-4c04-b186-575948063362,storage2-2C_1,#FF5733
ef05b8a5-1b68-49d5-a5b9-e31cc552a1c9,storage3-4C_2,#3357FF
80187f6a-7099-44af-974d-3d0d20cd5065,storage2-1A_5,#FF5733
183e7d9e-4dc9-45af-acaa-edf6e372899b,storage1-4C_4,#FF5733
5a9c9776-f928-4145-802b-6c2fd7bf5c61,storage1-4B_4,#F0FF33
9c4dba6c-48e2-4655-a660-69927de21ad0,storage2-3C_1,#3357FF
945dff71-dd7c-4602-b88b-cb138bca476d,storage2-4A_5,#33FF57
5d9562a3-5723-4e4b-8274-a16dfbdeee50,storage1-1A_3,#FF5733
cfd85caf-7c72-46b3-bc4d-fbde51516e72,storage2-1B_4,#FF5733
0c265503-550a-4c42-99e3-d6e74e625c9b,storage3-1A_4,#F0FF33
8cf18071-2d28-4581-97e5-48a5f3bf53d6,storage1-1C_5,#3357FF
3551dbd0-bcfd-435e-bf2e-f58e125840a1,storage2-3A_5,#33FF57
