storage_id,section
storage1-1A_1,1
storage2-1A_1,2
storage3-1A_1,3
storage4-1A_1,4
storage1-1A_2,1
storage2-1A_2,2
storage3-1A_2,3
storage4-1A_2,4
storage1-1A_3,1
storage2-1A_3,2
storage3-1A_3,3
storage4-1A_3,4
storage1-1A_4,1
storage2-1A_4,2
storage3-1A_4,3
storage4-1A_4,4
storage1-1A_5,1
storage2-1A_5,2
storage3-1A_5,3
storage4-1A_5,4
storage1-1A_6,1
storage2-1A_6,2
storage3-1A_6,3
storage4-1A_6,4
storage1-1A_7,1
storage2-1A_7,2
storage3-1A_7,3
storage4-1A_7,4
storage1-1B_1,1
storage2-1B_1,2
storage3-1B_1,3
storage4-1B_1,4
storage1-1B_2,1
storage2-1B_2,2
storage3-1B_2,3
storage4-1B_2,4
storage1-1B_3,1
storage2-1B_3,2
storage3-1B_3,3
storage4-1B_3,4
storage1-1B_4,1
storage2-1B_4,2
storage3-1B_4,3
storage4-1B_4,4
storage1-1B_5,1
storage2-1B_5,2
storage3-1B_5,3
storage4-1B_5,4
storage1-1B_6,1
storage2-1B_6,2
storage3-1B_6,3
storage4-1B_6,4
storage1-1B_7,1
storage2-1B_7,2
storage3-1B_7,3
storage4-1B_7,4
storage1-2A_1,1
storage2-2A_1,2
storage3-2A_1,3
storage4-2A_1,4
storage1-2A_2,1
storage2-2A_2,2
storage3-2A_2,3
storage4-2A_2,4
storage1-2A_3,1
storage2-2A_3,2
storage3-2A_3,3
storage4-2A_3,4
storage1-2A_4,1
storage2-2A_4,2
storage3-2A_4,3
storage4-2A_4,4
storage1-2A_5,1
storage2-2A_5,2
storage3-2A_5,3
storage4-2A_5,4
storage1-2A_6,1
storage2-2A_6,2
storage3-2A_6,3
storage4-2A_6,4
storage1-2A_7,1
storage2-2A_7,2
storage3-2A_7,3
storage4-2A_7,4
storage1-2B_1,1
storage2-2B_1,2
storage3-2B_1,3
storage4-2B_1,4
storage1-2B_2,1
storage2-2B_2,2
storage3-2B_2,3
storage4-2B_2,4
storage1-2B_3,1
storage2-2B_3,2
storage3-2B_3,3
storage4-2B_3,4
storage1-2B_4,1
storage2-2B_4,2
storage3-2B_4,3
storage4-2B_4,4
storage1-2B_5,1
storage2-2B_5,2
storage3-2B_5,3
storage4-2B_5,4
storage1-2B_6,1
storage2-2B_6,2
storage3-2B_6,3
storage4-2B_6,4
storage1-2B_7,1
storage2-2B_7,2
storage3-2B_7,3
storage4-2B_7,4
storage1-3A_1,1
storage2-3A_1,2
storage3-3A_1,3
storage4-3A_1,4
storage1-3A_2,1
storage2-3A_2,2
storage3-3A_2,3
storage4-3A_2,4
storage1-3A_3,1
storage2-3A_3,2
storage3-3A_3,3
storage4-3A_3,4
storage1-3A_4,1
storage2-3A_4,2
storage3-3A_4,3
storage4-3A_4,4
storage1-3A_5,1
storage2-3A_5,2
storage3-3A_5,3
storage4-3A_5,4
storage1-3A_6,1
storage2-3A_6,2
storage3-3A_6,3
storage4-3A_6,4
storage1-3A_7,1
storage2-3A_7,2
storage3-3A_7,3
storage4-3A_7,4
storage1-3B_1,1
storage2-3B_1,2
storage3-3B_1,3
storage4-3B_1,4
storage1-3B_2,1
storage2-3B_2,2
storage3-3B_2,3
storage4-3B_2,4
storage1-3B_3,1
storage2-3B_3,2
storage3-3B_3,3
storage4-3B_3,4
storage1-3B_4,1
storage2-3B_4,2
storage3-3B_4,3
storage4-3B_4,4
storage1-3B_5,1
storage2-3B_5,2
storage3-3B_5,3
storage4-3B_5,4
storage1-3B_6,1
storage2-3B_6,2
storage3-3B_6,3
storage4-3B_6,4
storage1-3B_7,1
storage2-3B_7,2
storage3-3B_7,3
storage4-3B_7,4
storage1-4A_1,1
storage2-4A_1,2
storage3-4A_1,3
storage4-4A_1,4
storage1-4A_2,1
storage2-4A_2,2
storage3-4A_2,3
storage4-4A_2,4
storage1-4A_3,1
storage2-4A_3,2
storage3-4A_3,3
storage4-4A_3,4
storage1-4A_4,1
storage2-4A_4,2
storage3-4A_4,3
storage4-4A_4,4
storage1-4A_5,1
storage2-4A_5,2
storage3-4A_5,3
storage4-4A_5,4
storage1-4A_6,1
